Sp,Country,Region,Pop,Indiv,Site,Block,Year,MISM,MISM.F1,TotSeeds.F1
Rco,NZ,W,RcoNZWC,RcoNZWC5,West,W2,2019,1.224,1.065,123481
Rco,NZ,W,RcoNZWD,RcoNZWD5,West,W2,2019,1.468,1.320,87885
Rco,NZ,C,RcoNZCC,RcoNZCC8,West,W2,2019,0.678,1.059,102106
Rco,NZ,C,RcoNZCD,RcoNZCD1,West,W1,2019,1.348,0.969,99171
Rco,NZ,C,RcoNZCA,RcoNZCA1,West,W3,2019,0.831,1.166,71033
Rco,NZ,C,RcoNZCD,RcoNZCD5,West,W3,2019,1.343,1.108,98459
Rco,UK,E,RcoUKEB,RcoUKEB4,West,W3,2019,1.417,1.073,16173
Rco,UK,E,RcoUKEB,RcoUKEB4,West,W1,2019,1.417,0.881,16310
Rco,NZ,C,RcoNZCD,RcoNZCD4,West,W2,2019,1.364,1.070,21470
Rco,UK,Cb,RcoUKCbB,RcoUKCbB7,West,W2,2019,1.214,1.125,31091
Rco,UK,Cb,RcoUKCbC,RcoUKCbC2,West,W2,2019,1.042,0.878,111551
Rco,UK,E,RcoUKEA,RcoUKEA3,West,W2,2019,1.000,0.890,27460
Rco,NZ,S,RcoNZSB,RcoNZSB3,West,W2,2019,0.985,0.837,253434
Rco,UK,G,RcoUKGA,RcoUKGA3,West,W2,2019,0.952,0.943,57241
Rco,UK,G,RcoUKGA,RcoUKGA3,West,W3,2019,0.952,0.835,79572
Rco,UK,G,RcoUKGA,RcoUKGA5,West,W2,2019,1.000,0.774,73810
Rco,UK,Cb,RcoUKCbD,RcoUKCbD7,West,W1,2019,1.364,1.009,17889
Rco,UK,Cw,RcoUKCwD,RcoUKCwD1,West,W3,2019,0.943,1.070,76269
Rco,NZ,S,RcoNZSD,RcoNZSD1,West,W1,2019,1.196,0.794,36590
Rco,NZ,S,RcoNZSD,RcoNZSD2,West,W3,2019,1.421,1.096,49440
Rco,UK,E,RcoUKEB,RcoUKEB9,West,W3,2019,1.524,1.041,109536
Rco,NZ,W,RcoNZWA,RcoNZWA3,West,W3,2019,1.135,1.008,48120
Rco,UK,G,RcoUKGA,RcoUKGA2,West,W1,2019,0.905,0.975,102740
Rco,NZ,C,RcoNZCD,RcoNZCD1,West,W3,2019,1.348,1.124,67823
Rco,UK,G,RcoUKGA,RcoUKGA4,West,W2,2019,1.000,1.043,37781
Rco,NZ,C,RcoNZCB,RcoNZCB4,West,W1,2019,1.281,1.234,25785
Rco,NZ,S,RcoNZSD,RcoNZSD5,West,W2,2019,1.296,1.058,23422
Rco,NZ,S,RcoNZSB,RcoNZSB2,West,W3,2019,0.864,1.038,42821
